,link,title,rating,price,category
26,https://m.media-amazon.com/images/I/41h5Nidz1qL._AC_UL320_.jpg,FAE Beauty Ultra Light & No White Cast SPF Juice with SPF 50+ PA++++ ( 50 gm) |Non Greasy Sunscreen Formula | Hydrates Skin & Protects Broad Spectrum UVA & UVB Rays,4.4,540,beauty
27,https://m.media-amazon.com/images/I/61WGvoayeDL._AC_UL320_.jpg,"Swiss Beauty Waterproof Volume Mascara | Smudge proof Curling Mascara for eye makeup | Jet Black, 8.5ml |",4.0,240,beauty
28,https://m.media-amazon.com/images/I/51zwevlz7IL._AC_UL320_.jpg,"Swiss Beauty Waterproof and Long wearing Bold Felt Tip Pen Eyeliner | Smudge Proof Eye Makeup | Quick Drying |Black , 1.2 ml |",3.9,199,beauty
29,https://m.media-amazon.com/images/I/61M-FseWeeL._AC_UL320_.jpg,"Swiss Beauty Glitter gel moisturizing Lipstick| Long Lasting, Hydrating Lipstick for dry and Chapped lips | Shade-03, 3.6gm|",3.3,149,beauty
30,https://m.media-amazon.com/images/I/41Di9qJRZVL._AC_UL320_.jpg,"Swiss Beauty Powder Brush Concealer Brush, Silver",4.2,119,beauty
31,https://m.media-amazon.com/images/I/51WEcNMqpxL._AC_UL320_.jpg,"Love Beauty & Planet Refreshing Body Wash 400ml, with Natural Coconut Water & Mimosa Flower, Hydrating, Sulfate Free, Paraben Free-Liquid Shower Gel",4.2,338,beauty
32,https://m.media-amazon.com/images/I/51VCdx7eiLL._AC_UL320_.jpg,"Pond's Bright Beauty Spot-less Glow Serum, Infused with Hyaluronic Acid, Vitamin B3, Gluta-Boost-C, For Brightness and Hydration, 30ml",3.9,314,beauty
33,https://m.media-amazon.com/images/I/51IdcvEUXGL._AC_UL320_.jpg,"Swiss Beauty Ultra Black Liquid Pen Eyeliner Shimmery Finish Waterproof and Smudge Proof Eye Makeup, 0.8ml",3.8,240,beauty
34,https://m.media-amazon.com/images/I/71nateqUW4L._AC_UL320_.jpg,"Swiss Beauty Premium Synthetic Bristle Professional Face and Eye Makeup Brushes Set with 6 makeup brushes | For Cream, Liquid and Powder Formulation|",4.5,683,beauty
35,https://m.media-amazon.com/images/I/41G0h2dUKPL._AC_UL320_.jpg,"Swiss Beauty Water Proof Make Up Glimmer liner Lip Pencil, (Shade-25) Royal Red, 1.6g",4.0,41.,beauty
